,author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
304,Ginsburg AS and Sun R and Calamita H and Scott CP and Bishai WR and Grosset JH,Antimicrobial agents and chemotherapy,2005,NA,10.1128/AAC.49.9.3977-3979.2005,NA,16127087,NA,"Animals and Anti-Bacterial Agents/*pharmacology and Aza Compounds/*therapeutic use and Body Weight/drug effects and DNA Gyrase/genetics and DNA Primers and Diet and Drug Resistance, Bacterial and Eating and Female and Fluoroquinolones/*pharmacology and Mice and Mice, Inbred BALB C and Moxifloxacin and Mycobacterium tuberculosis/*drug effects and Quinolines/*therapeutic use and Reverse Transcriptase Polymerase Chain Reaction and Tuberculosis/*drug therapy/*microbiology",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't and Research Support, U.S. Gov't, P.H.S.",Emergence of fluoroquinolone resistance in Mycobacterium tuberculosis during continuously dosed moxifloxacin monotherapy in a mouse model.,0,"Fluoroquinolone resistance in tuberculosis may rapidly emerge. Mice infected with high titers of aerosolized Mycobacterium tuberculosis and treated for 8 weeks with four concentrations of moxifloxacin (0.125, 0.25, 0.50, and 1.0%) mixed into the diet had drug concentrations of 2.4, 4.1, 5.3, and 17.9 microg/ml, respectively, in blood. Selection of fluoroquinolone-resistant mutants occurred in all surviving mice."
305,Ichiyama S and Suzuki K,Kekkaku : [Tuberculosis],2005,NA,NA,NA,15920982,NA,"Antitubercular Agents/pharmacology and Bacteriological Techniques/*methods and Culture Media and Drug Resistance, Bacterial/genetics and Humans and Microbial Sensitivity Tests/methods and Minisatellite Repeats and Molecular Epidemiology/methods and Mycobacterium/genetics/*isolation & purification and Mycobacterium Infections/*diagnosis/*microbiology and Nucleic Acid Amplification Techniques/*methods and Polymorphism, Restriction Fragment Length and Reagent Kits, Diagnostic and Serologic Tests/*methods",NA,Congress,[Clinical application of testing methods on acid-fast bacteria].,0,"Clinical bacteriology pertaining to acid-fast bacteria has made marked advances over the past decade, initiated by the development of a DNA probe kit for identification of acid-fast bacteria. Wide-spread use of nucleic acid amplification for rapid detection of tubercle bacillus contributed more greatly than any other factor to such advances in this field. At present, 90% of all kits used for nucleic acid amplification in the world are consumed in Japan. Unfortunately, not a few clinicians in Japan have a false idea that the smear method and nucleic acid amplification are necessary but culture is not. In any event nucleic acid amplification has exerted significant impacts on the routine works at bacteriology laboratories. Among others, collecting bacteria by pretreatment with NALC-NaOH has simplified the introduction of the collective mode smear method and liquid media. Furthermore, as clinicians have become increasingly more experienced with various methods of molecular biology, it now seems possible to apply these techniques for detection of genes encoding drug resistance and for utilization of molecular epidemiology in routine laboratory works. Meanwhile, attempts to diagnose acid-fast bacteriosis by checking blood for antibody have also been made, primarily in Japan. At present, two kits for detecting antibodies to glycolipids (LAM, TDM, etc.) are covered by national health insurance in Japan. We have an impression that in Japan clinicians do not have adequate knowledge and skill to make full use of these new testing methods clinically. We, as the chairmen of this symposium, hope that this symposium will help clinicians increase their skill related to new testing methods, eventually leading to stimulation of advances in clinical practices related to acid-fast bacteria in Japan. 1. Smear microscopy by concentration method and broth culture system: Kazunari TSUYUGUCHI (Clinical Research Center, National Hospital Organization Kinki-chuo Chest Medical Center) Smear microscopy and culture still remain the cornerstone to diagnose tuberculosis. However, the classical methods in Japan using direct microscopy and Ogawa solid media were not sufficient for clinical use. In recent years substantial advance has been made in these fields. Concentration of clinical samples by centrifugation improves the sensitivity of smear microscopy with excellent reproducibility. The Mycobacteria Growth Indicator Tube (MGIT) system using liquid media yields high sensitivity and rapidity. Using these methods, more and more tuberculosis cases would be correctly diagnosed and treated adequately based on drug susceptibility testing. 2. New technologies for anti-tuberculosis drug susceptibility testing: Satoshi MITARAI (Bacteriology Division, Reference Centre for Mycobacterium, Research Institute of Tuberculosis, Japan Anti-Tuberculosis Association) Several new technologies have been developed to obtain anti-tuberculosis drug susceptibility testing (AST) results rapidly, utilising liquid culture and molecular technologies. Mycobacterium Growth Indicator Tube (MGIT), as a popular liquid culturing and AST system, was evaluated for its accuracy and usefulness. As for isoniazid, MGIT showed 12.6% of discordant result comparing with standard method. These MGIT resistant and Ogawa susceptible strains had relatively high MICs ranging 0.13 to 2.0 microg/ml. The molecular detection of resistant gene mutation is also a useful method to estimate drug resistance rapidly. The rpoB mutation detection is reliable with high sensitivity and specificity. 3. Nucleic acid amplification and novel diagnostic methods: Shunji TAKAKURA (Department of Clinical Laboratory Medicine, Kyoto University Graduate School of Medicine) Sensitivities of nucleic acid amplification tests (NAATs) for the diagnosis of tuberculosis meet clinical requirement that patients with high-risk of transmission should be identified within a day. Comparison of the performance of various NAATs is difficult because of the difference in sample processing and in samples tested among methods and reports. Considering the limitations of NAATs (low sensitivity compared with culture, inability to differentiate dead bacilli from the living), further advances would be expected when novel technologies could confer additional information, such as drug susceptibility, quantity, viability, and genotype. 4. Serodiagnosis of Mycobacterium avium complex lung disease: Seigo KITADA (Department of Internal Medicine, National Hospital Organization Toneyama National Hospital) Mycobacterium avium complex (MAC) organisms are ubiquitous in environment and a contamination in respiratory tracts is sometimes observed, and that complex the diagnosis. We developed a serodiagnostic method for MAC disease using an enzyme immunoassay with the MAC-specific glycopeptidolipid (GPL) core as antigen. A significant increase in GPL core antibodies was detected in sera of patients with MAC pulmonary diseases compared to patients who were colonized with MAC, patients with M. kansasii disease and tuberculosis and healthy subjects. The serodiagnosis is useful for diagnosis of MAC lung disease. 5. Molecular epidemiologic tools for tuberculosis: IS6110 RFLP, Spoligotyping, and VNTR: Tomoshige MATSUMOTO, Hiromi ANO, Tetsuya TAKASHIMA, Izuo TSUYUGUCHI (Osaka Prefectural Medical Center for Respiratory and Allergic Diseases) We have performed molecular typing on about 1,300 culture positive clinical isolates that made up the majority of tuberculosis strains in part of southeast Osaka since 2001 until now. By spoligotyping, about 75% of entire strains belonged to the Beijing strain. Particular spoligotyping descriptions, which were not described in SpolDBIII, were found in the strains with lower than 6 copies of IS6110 RFLP. We described them as Osaka type. We could also show that direct typing from Tb PCR positive sputum of patients with tuberculosis was possible by VNTR and that VNTR with 16 loci was useful in tuberculosis typing in Osaka."
306,Romero RE and Garzn DL and Meja GA and Monroy W and Patarroyo ME and Murillo LA,Canadian journal of veterinary research = Revue canadienne de recherche veterinaire,1999,NA,NA,NA,10369566,NA,"Animals and Cattle and Colombia/epidemiology and DNA Primers and Female and Genome, Viral and Humans and Milk and Mycobacterium bovis/genetics/*isolation & purification and Polymerase Chain Reaction/methods and Tuberculosis, Bovine/*diagnosis/epidemiology and Zoonoses",NA,"Journal Article and Research Support, Non-U.S. Gov't",Identification of Mycobacterium bovis in bovine clinical samples by PCR species-specific primers.,0,"Tuberculosis, caused by Mycobacterium bovis is emerging as the most important disease affecting cattle. Furthermore, it results in a major public health problem when transmitted to humans. Due to its difficult and non-specific diagnosis, M. bovis has been declared to be one of the etiologic agents causing significant economic loss in the cattle industry. Our group evaluated a more rapid and specific method, based on a new polymerase chain reaction species-specific primers, which amplifies a 470-base pair fragment of the M. bovis genome. A total of 275 milk-producing cows were studied by intradermal tuberculin test (ITT) which gave 184 positive and 91 negative cases. From them, 50 animals were taken from a cattle ranch free of tuberculosis. Three different samples were collected from each animal (blood, nasal mucus, and milk). Positive results were obtained from 26 animals by PCR (11.4%), 1 by bacteriological culturing (0.4%) and 1 by bacilloscopy (0.4%). This finding suggests, as in previous reports, that ITT, normally used for bovine tuberculosis detection, has the inconvenience of having a broad range of specificity and sensitivity, and the PCR technique is a more specific and sensitive test to detect infection associated with M. bovis. Therefore, we propose this PCR assay as a useful tool in the epidemiological characterization of infected animals in areas considered to be at high risk of transmission."
307,Peces R and Daz Corte C,Nefrologia : publicacion oficial de la Sociedad Espanola Nefrologia,2000,NA,NA,NA,11100667,NA,"Adult and Antitubercular Agents/therapeutic use and Calcitriol/*blood and DNA, Bacterial/analysis and Female and Humans and Hypercalcemia/*complications and Ligase Chain Reaction and Male and Mycobacterium tuberculosis/genetics and *Renal Dialysis and Tuberculosis/*complications/diagnosis/drug therapy",NA,Case Reports and English Abstract and Journal Article,"[Association of hypercalcemia, elevated levels of calcitriol and tuberculosis in patients on hemodialysis].",0,"Hypercalcemia is associated with numerous chronic granulomatous processes and chronic infections. Increased production of calcitriol by activated macrophages has been shown to be the cause in most cases. In this article, we describe three cases of hypercalcemia associated with inappropriately elevated calcitriol levels and suppressed PTH in hemodialysis. In addition to conventional techniques for tuberculosis diagnosis we used Ligase Chain Reaction (LCR) to detect mycobacterial DNA in pleural effusion with acid-fast stain and culture negativity. Antituberculous therapy was associated with a decrease in the levels of calcium, as well as in serum calcitriol concentrations, and a substantial increase in the levels of iPTH. The serum levels of 25(OH)D3 remained unchanged. These findings suggested ectopic production of calcitriol. The discussion reviews the previously reported cases of hypercalcemia and tuberculosis that occurred during hemodialysis, and concludes that ectopic production of calcitriol by tuberculous granulomas is extremely unusual and its demonstration requires a high index of suspicion. Molecular techniques are a potentially useful approach for early and rapid diagnosis of tuberculous infection in dialysis patients."
308,Hook S and Griffin F and Mackintosh C and Buchan G,Immunology,1996,NA,10.1111/j.1365-2567.1996.tb00014.x,NA,8690460,NA,"Animals and Antibody Formation and BCG Vaccine/administration & dosage and Base Sequence and Biomarkers/analysis and DNA Primers/genetics and Deer/*immunology and Interleukin-4/genetics/*metabolism and Leukocytes, Mononuclear/*immunology and Lymphocyte Activation and Molecular Sequence Data and Mycobacterium bovis/immunology and Polymerase Chain Reaction and RNA, Messenger/analysis/*metabolism and Tuberculosis/diagnosis/prevention & control/*veterinary and Vaccines, Inactivated/administration & dosage",NA,"Comparative Study and Journal Article and Research Support, Non-U.S. Gov't","Activation of an interleukin-4 mRNA-producing population of peripheral blood mononuclear cells after infection with Mycobacterium bovis or vaccination with killed, but not live, BCG.",0,"This study examines the expression of mRNA for the Th2 cytokine, interleukin-4 (IL-4). Peripheral blood mononuclear cells from deer infected with Mycobacterium bovis or vaccinated with live or killed M. bovis bacillus Calmette-Gurin (BCG) were cultured with mycobacterial antigens. IL-4 mRNA production was assayed using the polymerase chain reaction. Elevated levels of IL-4 mRNA were detected in response to at least one antigen preparation in all animals infected with M. bovis as compared with none of the non-infected control animals. After a primary immunization, elevated levels of IL-4 mRNA were detected in only a proportion of vaccinated animals and this did not correlate with whether the vaccine was live BCG or killed BCG in oil. After boosting, all the animals vaccinated with killed BCG in oil exhibited elevated IL-4 mRNA production whereas none of the animals vaccinated with live BCG showed elevated levels. The data suggest that IL-4 is turned off during the immune response to live BCG, that boosting of low-dose live BCG vaccine may be required to 'imprint' this signal and that this may be important in the development of protective immunity to tuberculosis. Killed BCG in adjuvant is not protective and as with experimental infection with virulent M. bovis it failed to switch off the IL-4 response. IL-4 may be useful as a diagnostic tool and as an in vitro marker of vaccine efficacy."
309,Nojima D and Ozaki S and Fujii Y and Wada S and Ono K and Fujimoto N and Gemba K and Kishimoto T,Nihon Kokyuki Gakkai zasshi = the journal of the Japanese Respiratory Society,2009,NA,NA,NA,19348265,NA,"Aged, 80 and over and Diagnosis, Differential and Female and Humans and Respiratory Distress Syndrome, Adult/*diagnosis and Tuberculosis, Miliary/*diagnosis",NA,Case Reports and English Abstract and Journal Article,[A case of miliary tuberculosis presenting with acute resiratory distress syndrome].,0,"An 87-year-old woman was admitted because of high fever, progressive dyspnea and abnormal shadows on chest roentgenogram. Laboratory investigation on admission demonstrated a normal white cell count with neutrophilia (4000/microl, 90.5% neutrophils), an erythrocyte sedimentation rate of 10 mm/h and C-reactive protein value of 9.0mg/dl. Roentgenogram and computed tomographic scan of the chest shows bilateral infiltration and diffuse ground glass opacity, indicating acute respiratory distress syndrome (ARDS), but disseminated nodules, indicating miliary tuberculosis, were not found. Blood gas analysis demonstrated severe hypoxemia (PaO2 43.2Torr with 6L/ min oxygen). Based on the diagnosis of acute pneumonia and ARDS, intravenous administration of sivelestat sodium hydrate (100 mg/day), and continuous infusion of hydrocortisone (200 mg/day) were started. PaO2/FiO2 ratio improved but X-ray findings showed no improvement and a blood test revealed pancytopenia. Bone marrow biopsy revealed necrotizing epithelioid granuloma and acid-fast bacilli. A polymerase chain reaction (PCR) test detected Mycobacterium tuberculosis. Mycobacterium tuberculosis was also detected in sputum and urine. Therefore, we diagnosed miliary tuberculosis and transferred the patient to an infectious disease hospital. Miliary tuberculosis complicated with ARDS is relatively rare and the prognosis is extremely poor. Miliary tuberculosis should be kept in mind as a cause of ARDS."
310,Das SD and Narayanan PR and Kolappan C and Colston MJ,The international journal of tuberculosis and lung disease : the official journal of and the International Union against Tuberculosis and Lung Disease,1998,NA,NA,NA,9783532,NA,"Adolescent and Adult and BCG Vaccine/*immunology and Cytokines/analysis and Enzyme-Linked Immunosorbent Assay and Female and Humans and Immunity, Cellular/physiology and India and Interferon-gamma/*analysis and Interleukin-10/*analysis and Interleukin-4/*analysis and Male and Mycobacterium bovis/*immunology and Polymerase Chain Reaction and Sensitivity and Specificity and T-Lymphocytes/physiology and Tuberculin Test and Tuberculosis/*immunology/prevention & control",NA,"Clinical Trial and Controlled Clinical Trial and Journal Article and Research Support, Non-U.S. Gov't",The cytokine response to bacille Calmette Gurin vaccination in South India.,0,"SETTING: Evaluation of immune response after BCG vaccination in a population from South India where BCG vaccination was a failure. OBJECTIVE: To study the cell-mediated immune responses (CMI) in vitro by assessing skin test conversion, lymphocyte proliferation and cytokine patterns before and after BCG vaccination in 20 Mantoux negative subjects, and to compare this with that of 20 naturally Mantoux positive subjects. DESIGN: In vitro lymphocyte proliferation and cytokine responses to various mycobacterial antigens were studied in 12 subjects from each group. The cytokines interferon gamma (IFN-gamma), interleukin (IL)-4 and IL-10 were measured by both reverse transcriptase polymerase chain reaction (RT-PCR) and enzyme linked immunosorbent assay (ELISA). RESULTS: All of those who were initially Mantoux negative but one subject converted to positivity following vaccination, confirming that BCG vaccination does cause skin test conversion. However, in vitro proliferative responses to phytohaemagglutinin (PHA), purified protein derivative (PPD) and Mycobacterium tuberculosis remained largely unaltered by vaccination. The production of IFN-gamma was significantly higher in PPD-positive individuals compared to the PPD-negative group, and BCG vaccination of the latter did not change the levels of IFN-gamma, IL-4 or IL-10. CONCLUSIONS: The finding that PPD-negative individuals did not produce IFN-gamma even following vaccination and skin test conversion suggests that BCG had little effect in driving the immune response towards a protective Th1 type."
311,Mikota SK and Peddie L and Peddie J and Isaza R and Dunker F and West G and Lindsay W and Larsen RS and Salman MD and Chatterjee D and Payeur J and Whipple D and Thoen C and Davis DS and Sedgwick C and Montali RJ and Ziccardi M and Maslow J,Journal of zoo and wildlife medicine : official publication of the American and Association of Zoo Veterinarians,2001,NA,10.1638/1042-7260(2001)032[0001:EADOMT]2.0.CO;2,NA,12790389,NA,"Animals and Animals, Wild and Antibodies, Bacterial/blood and *Elephants and Enzyme-Linked Immunosorbent Assay/veterinary and Female and Male and Mycobacterium tuberculosis/genetics/immunology/*isolation & purification and Nasal Mucosa/microbiology and Nucleic Acid Amplification Techniques/veterinary and Tuberculin Test/veterinary and Tuberculosis/diagnosis/epidemiology/*veterinary and United States/epidemiology",NA,"Case Reports and Journal Article and Research Support, Non-U.S. Gov't",Epidemiology and diagnosis of Mycobacterium tuberculosis in captive Asian elephants (Elephas maximus).,0,"The deaths of two Asian elephants (Elephas maximus) in August 1996 led the United States Department of Agriculture to require the testing and treatment of elephants for tuberculosis. From August 1996 to September 1999. Mycobacterium tuberculosis infection was confirmed by culture in 12 of 118 elephants in six herds. Eight diagnoses were made antemortem on the basis of isolation of M. tuberculosis by culture of trunk wash samples; the remainder (including the initial two) were diagnosed postmortem. We present the case histories, epidemiologic characteristics, diagnostic test results, and therapeutic plans from these six herds. The intradermal tuberculin test, enzyme-linked immunosorbent assay serology, the blood tuberculosis test, and nucleic acid amplification and culture are compared as methods to diagnose M. tuberculosis infection in elephants."
312,Gormus BJ and Blanchard JL and Alvarez XH and Didier PJ,Journal of medical primatology,2004,NA,10.1111/j.1600-0684.2004.00062.x,NA,15102070,NA,"Animals and Body Burden and Bronchoalveolar Lavage Fluid/cytology and Cytokines/genetics and DNA/genetics and DNA Primers and *Disease Models, Animal and Electrophoresis, Agar Gel and Enzyme-Linked Immunosorbent Assay and Immunoglobulin G/immunology and Immunoglobulin M/immunology and Immunohistochemistry and Immunosuppression and Leukocytes, Mononuclear/immunology and Lipopolysaccharides/immunology and Lymphocyte Activation/immunology and *Macaca mulatta and Microscopy, Confocal and Mycobacterium tuberculosis/*genetics and RNA, Messenger/genetics/*metabolism and Reverse Transcriptase Polymerase Chain Reaction and Time Factors and Tuberculosis/*immunology/*pathology",NA,"Comparative Study and Journal Article and Research Support, U.S. Gov't, P.H.S.",Evidence for a rhesus monkey model of asymptomatic tuberculosis.,0,"Rhesus monkeys (RM) were inoculated intrabronchially with graded doses of Mycobacterium tuberculosis (MTB) strains Erdman and H37Rv in an effort to produce a model of asymptomatic tuberculosis infection. Erdman strain produced active disease within 7-11 weeks regardless of dose. Low doses of H37Rv resulted in asymptomatic infections; high doses produced active disease within 11 weeks. Over a 4-month period of post-inoculation study, MTB culture-filtrate protein (CFP)-stimulated bronchoalveolar lavage cells (BALC) and blood mononuclear cells (PBMC) from monkeys with active disease (30 cfu Erdman-inoculated) or asymptomatic infection (200 cfu H37Rv-inoculated) produced similar significant quantities of mRNA encoding for IFN-gamma or TNF-alpha, but insignificant quantities of IL-4 mRNA. Differences were observed in antigen-induced in vitro blastogenic responses and serum anti-lipoarabinomannan (LAM) antibody responses in animals with active compared with asymptomatic MTB infections. The results indicate that RM are a good model for the study of asymptomatic tuberculosis infections using low doses of H37Rv."
313,Matsuyama W and Kubota R and Hashiguchi T and Momi H and Kawabata M and Nakagawa M and Arimura K and Osame M,Immunology,2002,NA,10.1046/j.1365-2567.2002.01395.x,NA,11972637,NA,"Adult and Aged and CD4-Positive T-Lymphocytes/*immunology and Cells, Cultured and Endothelial Growth Factors/*blood and Female and Flow Cytometry and Histocompatibility Antigens Class I/immunology and Histocompatibility Antigens Class II/immunology and Humans and Lymphokines/*blood and Male and Middle Aged and Reverse Transcriptase Polymerase Chain Reaction and Tuberculin/*immunology and Tuberculosis, Pulmonary/*immunology and Up-Regulation/immunology and Vascular Endothelial Growth Factor A and Vascular Endothelial Growth Factors",NA,Journal Article,Purified protein derivative of tuberculin upregulates the expression of vascular endothelial growth factor in T lymphocytes in vitro.,0,"The purpose of this study was to investigate the cellular source and significance of vascular endothelial growth factor (VEGF) which, as reported previously, is elevated in the sera of pulmonary tuberculous patients. We obtained peripheral blood mononuclear cells (PBMCs) from 28 patients with active pulmonary tuberculosis, from 11 healthy controls who were positive for purified protein derivative of tuberculin (PPD), and from eight healthy individuals who were negative for PPD. We incubated the PBMCs with PPD in the presence or absence of major histocompatibility (MHC) class I or class II antibody in vitro, and measured the VEGF levels of culture supernatants. We also analysed the source of cells that secrete VEGF by using flow cytometry with intracellular staining. The T lymphocytes of active tuberculous patients secreted a higher level of VEGF than those of healthy controls. This production of VEGF was inhibited by adding MHC class II antibody. The addition of MHC class I antibody, however, did not inhibit. We propose that CD4+ T lymphocytes are almost certainly the cells that produce VEGF in response to PPD. VEGF production might be associated with an antigen-specific immune reaction via CD4+ T lymphocytes in tuberculosis."
314,Montes Santiago J and Gambn Deza F and Pacheco Carracedo M and Cerd Mota T,"Anales de medicina interna (Madrid, Spain : 1984)",1998,NA,NA,NA,9542201,NA,"Adenosine Deaminase/metabolism and Humans and Interleukin-6/metabolism and Lymphocyte Activation and Radiography and Receptors, Antigen, T-Cell/*metabolism and Receptors, Interleukin-2/metabolism and T-Lymphocyte Subsets/*metabolism and Tuberculosis, Pleural/blood/diagnostic imaging/*immunology",NA,"Journal Article and Research Support, Non-U.S. Gov't","[Lymphocyte activation in tuberculous pleuritis . Correlation with adenosine deaminase (ADA), peripheral blood lymphocytes, T cell receptor subfamilies, radiographic extension and levels of Il-6 and soluble Il-2 receptor].",0,"We determined in 14 patients with pleural tuberculosis total lymphocyte count, T subsets and NK cells (CD56) in pleura and blood and it was found a preferential accumulation in pleura of CD3 T lymphocytes, TCR alpha beta, mainly CD4 subset, but not T or NK cells. In 5 pleuritis it was studied 40% of V beta TCR subfamilies in blood and pleura and in 2 pulmonary tuberculosis and one pleuritis all V beta and V alpha TCR subfamilies (trough PCR), without be observed a clear clonal expansion. It was not observed correlation among a) pleural and blood lymphocyte cellularity b) the amount of pleural effusion and the existence of lymphopenia or tuberculinic anergia c) levels of ADA and percentage of CD3 and CD4 cells in pleura. In 7 out 11 pleuritis a high expression of IL-2 receptor (CD25) was observed. In 24 patients with pleural and pulmonary tuberculosis there was not correlation between levels of SIL-2R and IL-6 and radiographic extension."
315,Del Castillo Duran Y and Santos Bod F and Castander Serentill D and Jubert Montaperto P and Espinosa Valencia P and Rabass Sole C,Medicina intensiva,2006,NA,10.1016/s0210-5691(06)74485-0,NA,16729480,NA,"Adjuvants, Immunologic/*administration & dosage/adverse effects and Administration, Intravesical and Aged and BCG Vaccine/*administration & dosage/adverse effects and DNA, Bacterial/blood and Fatal Outcome and Humans and Male and Multiple Organ Failure/diagnosis/drug therapy/*microbiology and Mycobacterium bovis/genetics and Polymerase Chain Reaction and Radiography, Thoracic and Tuberculosis, Miliary/diagnosis/drug therapy/*microbiology and Urinary Bladder Neoplasms/drug therapy",NA,Case Reports and English Abstract and Journal Article,[Tuberculosis miliar in a patient treated with intravesical instillations of bacillus Calmette-Gurin].,0,"Tuberculosis miliar is a very rare complication of bacillus Calmette-Gurin (BCG) immunotherapy that is associated to high mortality. Thus, early diagnosis and treatment is essential. At present, there is a polymerase chain reaction technique (PCR) which is a rapid diagnostic method with elevated sensitivity. Treatment with tuberculostatic agents should be initiated as soon as possible, the combination of corticosteroids and cycloserine in serious cases being advisable. A case of a 75 year old patient with intravesical BCG instillations after a transurethral resection of bladder cancer is presented. He was admitted to the Intensive Care Unit (ICU) due to severe acute respiratory failure evolving to acute respiratory distress syndrome (ARDS). Mycobacterium bovis DNA was identified by PCR in blood samples and bronchoaspirate (BAS). He was treated with tuberculostatic agents and corticosteroids, dying due to respiratory failure."
316,"Hamada, M. and Urabe, K. and Moroi, Y. and Koga, T. and Takeishi, M. and Fujita, M. and Nakanishi, Y. and Furue, M.",Journal of Dermatology,2004,Article,10.1111/j.1346-8138.2004.tb00521.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1542276628&doi=10.1111%2fj.1346-8138.2004.tb00521.x&partnerID=40&md5=d7b1bbce0a7d3dcf393c12c0af890bd1,15160868,ATL;  Lupus vulgaris;  Multifocal;  Tuberculosis,NA,"tuberculostatic agent, acquired immune deficiency syndrome;  aged;  antigen antibody reaction;  article;  case report;  clinical feature;  epithelioid cell;  erythema;  granuloma;  human;  human tissue;  immune deficiency;  Japan;  lung tuberculosis;  lupus vulgaris;  male;  Mycobacterium tuberculosis;  polymerase chain reaction;  skin biopsy;  T cell leukemia;  T cell lymphoma;  thorax radiography",NA,A Case of Multifocal Lupus Vulgaris that Preceded Pulmonary Tuberculosis in an Immune Compromised Patient,0,"We describe the rare case of a Japanese male with multifocal lupus vulgaris that preceded asymptomatic pulmonary tuberculosis and adult T-cell leukemia/lymphoma (ATL). He visited our hospital with multiple reddish plaques and erythema of 4-12 months duration. A skin biopsy revealed non-caseating epithelioid granulomas. Mycobacterium tuberculosis was detected by polymerase chain reaction (PCR)-hybridization from a skin biopsy specimen and was also isolated from a culture of the skin biopsy sample. The result of chest roentogenography was compatible with pulmonary tuberculosis. In addition, the diagnosis of ATL was based upon the presence of atypical lymphocytes with convoluted nuclei in his peripheral blood and a positive anti-ATL antibody reaction. Cases of cutaneous tuberculosis presenting with unusual clinical features may be on the increase, accompanying the spread of tuberculosis in immunosuppressed patients, including those with ATL and acquired immunodeficiency syndrome (AIDS)."
317,Puzanov VA and Kosareva MV,Problemy tuberkuleza,1999,NA,NA,NA,10199188,NA,"AIDS-Related Opportunistic Infections/complications/diagnosis/microbiology and Bacteremia/diagnosis/*microbiology and DNA, Bacterial/analysis and Diagnosis, Differential and Humans and Mycobacterium/genetics/*isolation & purification and Mycobacterium Infections/*complications/diagnosis/microbiology and Polymerase Chain Reaction and Tuberculosis/diagnosis/microbiology",NA,Comparative Study and Journal Article and Review,[Bacteremia in tuberculosis and other mycobacterial infections].,0,NA
318,"Tzoanopoulos, D. and Stakos, D. and Hatseras, D. and Ritis, K. and Kartalis, G.",Netherlands Journal of Medicine,2001,Article,10.1016/S0300-2977(01)00137-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034801685&doi=10.1016%2fS0300-2977%2801%2900137-1&partnerID=40&md5=f735a857998f625c0e06f8174a5a05a9,11578792,IS6110 insertion element;  PCR;  Pericardial tuberculosis,NA,"bacterial DNA;  ethambutol;  isoniazid;  methylprednisolone;  rifampicin;  tuberculostatic agent, adult;  article;  bacterial gene;  bacterium detection;  bacterium identification;  blood;  bone marrow;  case report;  clinical feature;  constrictive pericarditis;  disease course;  female;  gene insertion;  human;  Mycobacterium tuberculosis;  nonhuman;  pericardial effusion;  polymerase chain reaction;  treatment outcome;  tuberculosis, Bone Marrow;  DNA, Bacterial;  Dyspnea;  Echocardiography;  Female;  Fever;  Humans;  Middle Aged;  Mycobacterium tuberculosis;  Pericardial Effusion;  Pericarditis, Tuberculous;  Polymerase Chain Reaction;  Sensitivity and Specificity;  Time Factors",NA,"Detection of Mycobacterium tuberculosis complex DNA in pericardial fluid, bone marrow and peripheral blood in a patient with pericardial tuberculosis: A case report",0,"Definitive diagnosis of tuberculous pericarditis requires identification of bacilli in pericardial fluid or tissue. Conventional diagnostic methods are time-consuming and have a low sensitivity making bacteriological confirmation of the disease very difficult. Hereby, we report the case of molecular detection of Mycobacterium tuberculosis in pericardial fluid, bone marrow and peripheral blood from a 63-year-old woman with pericardial tuberculosis, using a nested PCR assay specific for IS6110 insertion element of M. tuberculosis complex. The patient had an excellent response to a three-drug combination anti-tuberculous regimen and 1 year later was asymptomatic, without evidence of constrictive pericarditis.  2001 Elsevier Science B.V. All rights reserved."
319,Archakova LI and Skvortsova LA and Knoring BE and Pavlova MV,Problemy tuberkuleza i boleznei legkikh,2008,NA,NA,NA,19230186,NA,"Alleles and Cytokines/immunology and HLA-DQ Antigens/*genetics and HLA-DQ beta-Chains and Humans and Immunologic Factors/*therapeutic use and Interleukin-2/*therapeutic use and Interleukin-8/immunology and Lymphocytes/immunology and Polymerase Chain Reaction and Polymorphism, Genetic and Prognosis and Sensitivity and Specificity and Tuberculosis, Pulmonary/*drug therapy/*genetics/immunology",NA,Comparative Study and English Abstract and Journal Article,[Immunogenetic aspects of the course and treatment of pulmonary tuberculosis].,0,"The paper presents the clinical, X-ray, and laboratory characteristics of patients with pulmonary tuberculosis. Both general regularities and differences in the frequency of alleles of the HLA-DQB1* locus have been revealed in the groups of patients with pulmonary tuberculosis as compared with healthy individuals. There are specificities associated with the risk of pulmonary tuberculosis and the variants of the course of infection; thus, allele 05 of the HLA-DQB1* locus is positively associated with the incidence of tuberculosis. Specificity 03 of the HLA-DQB1* locus has been ascertained to be associated with the poor course of the disease. The most pronounced immunological changes have been observed in patients with the poor course of the disease, who are the carriers of specificity 05 of the HLA-DQB1* locus. The totality of immunological parameters and the data of genetic studies provide a basis for using the selective immunomodulator rIL-2 (roncoleukin) in the most seriously ill patients who are carriers of specificity 05."
