author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,review_fulltext,abstract
Dupnik KM and Bean JM and Lee MH and Jean Juste MA and Skrabanek L and Rivera V and Vorkas CK and Pape JW and Fitzgerald DW and Glickman M,The international journal of tuberculosis and lung disease : the official journal of and the International Union against Tuberculosis and Lung Disease,2018,NA,10.5588/ijtld.17.0855,NA,29991407,NA,"Adult and Bacterial Load and Biomarkers/blood and Case-Control Studies and Female and Haiti and Humans and Male and Mycobacterium tuberculosis/*genetics/isolation & purification and Sensitivity and Specificity and Sequence Analysis, RNA and Sputum/*microbiology and *Transcriptome and Tuberculosis, Pulmonary/*diagnosis",NA,"Journal Article and Research Support, N.I.H., Extramural",Blood transcriptomic markers of Mycobacterium tuberculosis load in sputum.,0,"BACKGROUND: Peripheral blood transcriptome signatures that distinguish active pulmonary tuberculosis (TB) from control groups have been reported, but correlations of these signatures with sputum mycobacterial load are incompletely defined. METHODS: We assessed the performance of published TB transcriptomic signatures in Haiti, and identified transcriptomic biomarkers of TB bacterial load in sputum as measured by Xpert MTB/RIF molecular testing. People in Port au Prince, Haiti, with untreated pulmonary TB (n = 51) formed the study cohort: 19 people with low and 32 with high sputum Mycobacterium tuberculosis load. Peripheral whole blood transcriptomes were generated using RNA sequencing. RESULTS: Twenty of the differentially expressed transcripts in TB vs. no TB were differentially expressed in people with low vs. high sputum mycobacterial loads. The difference between low and high bacterial load groups was independent of radiographic severity. In a published data set of transcriptomic response to anti-tuberculosis treatment, this 20-gene subset was more treatment-responsive at 6 months than the full active TB signature. CONCLUSION: We identified genes whose transcript levels in the blood distinguish active TB with high vs. low M. tuberculosis loads in the sputum. These transcripts may reveal mechanisms of mycobacterial control of M. tuberculosis during active infection, as well as identifying potential biomarkers for bacterial response to anti-tuberculosis treatment."
Guo XH and Bai Z and Qiang B and Bu FH and Zhao N,Brazilian journal of medical and biological research = Revista brasileira de and pesquisas medicas e biologicas,2017,NA,10.1590/1414-431X20165625,NA,28225889,NA,"Animals and Blotting, Western and Chemokine CCL2/blood/*metabolism and Cytokines/blood/immunology and Disease Models, Animal and Enzyme-Linked Immunosorbent Assay and Flow Cytometry and Immunity, Cellular/*immunology and Male and NF-kappa B/blood/*metabolism and Rabbits and Real-Time Polymerase Chain Reaction and Tuberculosis, Spinal/*immunology",NA,Journal Article,Roles of monocyte chemotactic protein 1 and nuclear factor-B in immune response to spinal tuberculosis in a New Zealand white rabbit model.,0,"This study aimed to explore the roles of monocyte chemotactic protein 1 (MCP-1) and nuclear factor kappa B (NF-B) in immune response to spinal tuberculosis in a New Zealand white rabbit model. Forty-eight New Zealand white rabbits were collected and divided into four groups: experimental group (n=30, spinal tuberculosis model was established), the sham group (n=15, sham operation was performed) and the blank group (n=3). The qRT-PCR assay and western blotting were applied to detect the mRNA and protein expressions of MCP-1 and NF-B in peripheral blood. ELISA was used to measure serum levels of MCP-1, NF-B, IFN-, IL-2, IL-4, and IL-10. Flow cytometry was adopted to assess the distributions of CD4+, CD8+ lymphocytes and CD4+ CD25+ Foxp3 lymphocyte subsets. Compared with the sham and blank groups, the mRNA and protein expressions of MCP-1 and NF-B in the experimental group were significantly increased. The experimental group had lower serum levels of IL-2 and IFN- and higher serum level of IL-10 than the sham and blank groups. In comparison to the sham and blank groups, CD4+ T lymphocyte subsets percentage, CD4+/CD8+ ratio and CD4+ CD25+ Foxp3+ Tregs subsets accounting for CD4+ lymphocyte in the experimental group were lower, while percentage of CD8+ T lymphocyte subsets was higher. Our study provided evidence that higher expression of MCP-1 and NF-B may be associated with decreased immune function of spinal tuberculosis, which can provide a new treatment direction for spinal tuberculosis."
Li Q and Zhang H and Yu L and Wu C and Luo X and Sun H and Ding J,International immunopharmacology,2018,NA,10.1016/j.intimp.2017.10.026,NA,29100034,NA,"Adult and Amyloid Precursor Protein Secretases/antagonists & inhibitors and Cell Differentiation and Cells, Cultured and Cytokines/metabolism and Diamines/pharmacology and Female and GATA3 Transcription Factor/genetics/metabolism and Humans and Lymphocyte Activation and Male and Middle Aged and Mycobacterium tuberculosis/*immunology and Receptors, Notch/*metabolism and Signal Transduction and T-Box Domain Proteins/genetics/metabolism and Th1 Cells/*immunology and Th2 Cells/*immunology and Thiazoles/pharmacology and Transcription Factor HES-1/genetics/metabolism and Tuberculosis/*immunology",Notch signaling pathway and Th1/Th2 imbalance and Tuberculosis,Journal Article,Down-regulation of Notch signaling pathway reverses the Th1/Th2 imbalance in tuberculosis patients.,0,"Th1/Th2 imbalance to Th2 is of significance in the peripheral immune responses in Tuberculosis (TB) development. However, the mechanisms for Th1/Th2 imbalance are still not well determined. Notch signaling pathway is involved in the peripheral T cell activation and effector cell differentiation. However, whether it affects Th1/Th2 imbalance in TB patients is still not known. Here, we used -secretase inhibitor (DAPT) to treat the peripheral blood mononuclear cells (PBMCs) from healthy people or individuals with latent or active TB infection in vitro, respectively. Then, the Th1/Th2 ratios were determined by flow cytometry, and cytokines of IFN-, IL-4, IL-10 in the culture supernatant were measured by CBA method. The Notch signal pathway associated proteins Hes1, GATA3 and T-bet were quantitated by real-time PCR or immunoblotting. Our results showed that DAPT effectively inhibited the protein level of Hes1. In TB patients, the Th2 ratio increased in the PBMCs, alone with the high expression of GATA3 and IL-4, resulting in the high ratios of Th2/Th1 and GATA3/T-bet in TB patients. However, Th2 cells ratio decreased after blocking the Notch signaling pathway by DAPT and the Th2/Th1 ratio in TB patients were DAPT dose-dependent, accompanied by the decrease of IL-4 and GATA3. But, its influence on Th1 ratio and Th1 related T-bet and IFN- levels were not significant. In conclusion, our results suggest that blocking Notch signaling by DAPT could inhibit Th2 responses and restore Th1/Th2 imbalance in TB patients."
Patel VB and Singh R and Connolly C and Kasprowicz V and Zumla A and Ndungu T and Dheda K,PloS one,2010,NA,10.1371/journal.pone.0015664,NA,21203513,NA,"Adult and Antigens/chemistry and CD4-Positive T-Lymphocytes/metabolism and Enzyme-Linked Immunosorbent Assay/*methods and Female and HIV Infections/*epidemiology/*virology and Humans and Lipopolysaccharides/cerebrospinal fluid/chemistry and Male and Middle Aged and Mycobacterium tuberculosis/metabolism and Prevalence and Prospective Studies and South Africa and Tuberculosis, Meningeal/*diagnosis/*immunology",NA,"Journal Article and Research Support, N.I.H., Extramural and Research Support, Non-U.S. Gov't",Comparison of a clinical prediction rule and a LAM antigen-detection assay for the rapid diagnosis of TBM in a high HIV prevalence setting.,0,"BACKGROUND/OBJECTIVE: The diagnosis of tuberculous meningitis (TBM) in resource poor TB endemic environments is challenging. The accuracy of current tools for the rapid diagnosis of TBM is suboptimal. We sought to develop a clinical-prediction rule for the diagnosis of TBM in a high HIV prevalence setting, and to compare performance outcomes to conventional diagnostic modalities and a novel lipoarabinomannan (LAM) antigen detection test (Clearview-TB) using cerebrospinal fluid (CSF). METHODS: Patients with suspected TBM were classified as definite-TBM (CSF culture or PCR positive), probable-TBM and non-TBM. RESULTS: Of the 150 patients, 84% were HIV-infected (median [IQR] CD4 count = 132 [54; 241] cells/l). There were 39, 55 and 54 patients in the definite, probable and non-TBM groups, respectively. The LAM sensitivity and specificity (95%CI) was 31% (17;48) and 94% (85;99), respectively (cut-point  0.18). By contrast, smear-microscopy was 100% specific but detected none of the definite-TBM cases. LAM positivity was associated with HIV co-infection and low CD4 T cell count (CD4<200 vs. >200 cells/l; p = 0.03). The sensitivity and specificity in those with a CD4<100 cells/l was 50% (27;73) and 95% (74;99), respectively. A clinical-prediction rule  6 derived from multivariate analysis had a sensitivity and specificity (95%CI) of 47% (31;64) and 98% (90;100), respectively. When LAM was combined with the clinical-prediction-rule, the sensitivity increased significantly (p<0.001) to 63% (47;68) and specificity remained high at 93% (82;98). CONCLUSIONS: Despite its modest sensitivity the LAM ELISA is an accurate rapid rule-in test for TBM that has incremental value over smear-microscopy. The rule-in value of LAM can be further increased by combination with a clinical-prediction rule, thus enhancing the rapid diagnosis of TBM in HIV-infected persons with advanced immunosuppression."
Tang J and An Y and Liao Y and Li Y and Li L and Wang L,European neurology,2014,NA,10.1159/000358219,NA,24776964,NA,"Adolescent and Adult and Aged and Albumins/metabolism and Antitubercular Agents/*therapeutic use and Blood-Brain Barrier/*physiopathology and Capillary Permeability/physiology and Child and Disease Progression and Drug Resistance, Bacterial and Female and Humans and Leukocyte Count and Male and Middle Aged and Mycobacterium tuberculosis/drug effects/genetics and Severity of Illness Index and Treatment Outcome and Tuberculosis, Meningeal/*drug therapy/*physiopathology and Young Adult",NA,"Journal Article and Research Support, Non-U.S. Gov't",The association between blood-cerebrospinal fluid barrier dysfunction and the therapeutic effect in tuberculous meningitis patients.,0,"OBJECTIVE: To explore the correlation of blood-cerebrospinal fluid (CSF) barrier (BCB) dysfunction with the therapeutic effect of antitubercular agents and their resistance, hoping to provide theoretical evidence for improvement of the therapeutic effect. METHODS: Albumin in CSF and serum was assayed by IMMAGE. The CSF/serum albumin ratio (QALB) was used to evaluate the permeability of the BCB. Real-time fluorescence quantitative PCR was used to detect the amount of Mycobacterium tuberculosis DNA, and an MTBDRplus reagent kit was used to determine the type of drug resistance of the M. tuberculosis. RESULTS: The correlation analysis showed that significant correlation existed between the grade of severity of tuberculous meningitis and the QALB, and the grade of severity and the total leukocyte count in the CSF, for which the correlation coefficients were 0.366 (p < 0.05) and 0.365 (p < 0.05), respectively. The QALB in the group of patients who recovered was significantly higher than that in those patients who experienced disease progression (p = 0.019). CONCLUSIONS: Our study showed that the permeability of the BCB correlated with the cure rate in tuberculous meningitis. Specifically, in the treatment of tuberculous meningitis, it is of key importance to utilize the benefit of the permeability of the BCB to achieve a better outcome."
Lin Y and Zhang Y and Yu H and Tian R and Wang G and Li F,Molecular immunology,2019,NA,10.1016/j.molimm.2019.04.032,NA,31082644,NA,"Biomarkers/metabolism and Cells, Cultured and Gene Expression Profiling/methods and Gene Regulatory Networks/*genetics and Humans and Inflammation/genetics/microbiology and Latent TGF-beta Binding Proteins/genetics and Latent Tuberculosis/*genetics/microbiology and Leukocytes, Mononuclear/microbiology and MicroRNAs/*genetics and Mitogen-Activated Protein Kinase 1/genetics and Mycobacterium tuberculosis/pathogenicity and RNA, Messenger/genetics and Signal Transduction/genetics and Transcriptome/genetics",*Latent tuberculosis infection (LTBI) and *Marker and *Microarray data and *PPI Network and *miRNAGene network,"Journal Article and Research Support, Non-U.S. Gov't",Identification of unique key genes and miRNAs in latent tuberculosis infection by network analysis.,0,"Tuberculosis (TB) is a chronic infectious disease caused by Mycobacterium tuberculosis (M.tb). New cases are now mainly caused by the progression of latent tuberculosis infection (LTBI). Thus, methods to diagnose and treat LTBI are urgently needed to prevent the development of active TB in infected individuals and the subsequent spread of the disease. In this study, a systems biology approach was utilized to obtain numerous microarray data sets for mRNAs and microRNAs (miRNAs) expressed in the peripheral blood mononuclear cells (PBMCs) of TB patients and individuals with LTBI. Within these data sets, we identified the differentially expressed mRNAs and miRNAs and further investigated which differentially expressed genes and miRNAs were uniquely expressed during LTBI. The Database for Annotation, Visualization and Integrated Discovery (DAVID) was employed to analyze the functional annotations and pathway classifications of the identified genes. To further understand the unique miRNA-gene regulatory network of LTBI, we constructed a protein-protein interaction (PPI) network for the targeted genes. The PPI network included 39 genes that were differentially and uniquely expressed in PBMCs of individuals with LTBI, and KEGG pathway enrichment analysis showed that these genes were predominantly involved in the PI3K-Akt signaling pathway, which plays an important role in chronic inflammation. DIANA TOOLs-mirPath analysis revealed that the identified miRNAs in the miRNA-gene regulatory network for LTBI were mainly associated with the Hippo signaling pathway, which functions in the development of inflammation. Quantitative real-time PCR verified the up expression of hsa-miR-212-3p and its predicted target gene -MAPK1 which had low expression and was a major component of the PPI network, and MAPK1 expression was correlated with the clinicopathological characteristics of LTBI by receiver operating characteristic (ROC) curve analysis. Therefore, MAPK1 has potential to be a new investigable marker during LTBI, which merits our further study and solution. The unique aberrant miRNA-gene regulatory network and the related PPI network identified in this study provide insight into the molecular mechanisms of the immune response to LTBI, and thus, may aid in the development of a novel treatment strategy."
Yang J and Xu K and Zheng J and Wei L and Fan J and Li L,"Tuberculosis (Edinburgh, Scotland)",2013,NA,10.1016/j.tube.2013.05.007,NA,23845455,NA,"Adult and Amino Acid Motifs and Antigens, Bacterial/*immunology and Bacterial Proteins/*immunology and Cells, Cultured and Complementarity Determining Regions/blood/genetics and Female and Humans and Immunoglobulin Joining Region/blood/genetics and Immunoglobulin Variable Region/blood/genetics and Leukocytes, Mononuclear/immunology and Male and Middle Aged and Mycobacterium tuberculosis/*immunology and Real-Time Polymerase Chain Reaction/methods and Receptors, Antigen, T-Cell, alpha-beta/blood/*genetics and T-Lymphocyte Subsets/immunology and Tuberculosis, Pulmonary/genetics/*immunology",CFP-10 and ESAT-6 and GMSP and TCRBV profile and Tuberculosis,"Journal Article and Research Support, Non-U.S. Gov't",Limited T cell receptor beta variable repertoire responses to ESAT-6 and CFP-10 in subjects infected with Mycobacterium tuberculosis.,0,"Mycobacterium tuberculosis (MTB)-specific antigens, ESAT-6 or CFP-10 play a key role in diagnosis and control MTB infection. T cell receptor (TCR) reflects the status and function of T cells. However, the features of the TCR beta variable (TCRBV) repertoire used against ESAT-6 and CFP-10 from MTB subjects have not been well described. The molecular profiles of TCRBV complementarity-determining region 3 (CDR3) in PBMCs with or without ESAT-6 or CFP-10 stimulation were assayed using a gene melting spectral pattern (GMSP) assay developed in our previous study. The average number of skewed TCRBV family in PBMCs stimulated with ESAT-6 or CFP-10 was significantly higher than that in unstimulated PBMCs. TCRBV3, BV5.1, BV12, BV13.1, BV13.2, BV20 and BV24 were used more frequently than other TCRBV members in PBMCs from MTB subjects, and TCRBV3, BV5.1 in stimulated PBMCs have a preference in the usage of variable (V) and joining (J) segments and CDR3. The results indicate that the T cell immune response in MTB subjects involves a few of specific T cells. The preferred usage of certain V and J segments and CDR3s of TCRBV3 or BV5.1 may be related to ESAT-6 or CFP-10 respectively, which would help clinical differential diagnosis and treatment of MTB-infected subjects."
Mendy J and Jarju S and Heslop R and Bojang AL and Kampmann B and Sutherland JS,Frontiers in immunology,2018,NA,10.3389/fimmu.2018.03093,NA,30662443,NA,"Adult and Bacterial Load and Cohort Studies and Coinfection/blood/diagnosis/*immunology/microbiology and DNA, Bacterial/isolation & purification and Female and Gambia and Humans and Influenza A virus/genetics/immunology/isolation & purification and Influenza B virus/genetics/immunology/isolation & purification and Influenza, Human/blood/diagnosis/*immunology/virology and Male and Mycobacterium tuberculosis/genetics/*immunology/isolation & purification and RNA, Ribosomal, 16S/genetics and RNA, Viral/isolation & purification and Sputum/microbiology and Tuberculosis, Pulmonary/blood/diagnosis/*immunology/microbiology and Young Adult",*bacterial load and *cytokines and *flow cytometry and *influenza and *tuberculosis,"Journal Article and Research Support, Non-U.S. Gov't",Changes in Mycobacterium tuberculosis-Specific Immunity With Influenza co-infection at Time of TB Diagnosis.,0,"Background: Prior Influenza A viral (IAV) infection has been shown to increase susceptibility to tuberculosis (TB) and TB has also been shown to be a primary cause of death during pandemics, including the Spanish Influenza outbreak of 1918-1919. The majority of data has been obtained from mouse models, thus the aim of this study was to determine the impact of Flu co-infection on host immunity and disease severity in TB patients at diagnosis. Methods: Sputum from 282 patients with active TB were analyzed for presence of FluA/FluB RNA at presentation using multiplex PCR. Sputum RNA was also analyzed for Mycobacterium tuberculosis (Mtb) load using (16)S RNA amplification. Supernatants from digested sputum and Mtb antigen-stimulated whole blood were analyzed using multiplex cytokine arrays and PBMC were analyzed for cytokine production from CD4+ T, CD8+ T and Mucosal Associated Invariant T cells (MAITs). Results: 12 (4.3%) of TB patients were found to have FluA or FluB viral RNA present in their sputum at the time of TB diagnosis. The TB/Flu co-infected patients had a significantly higher bacterial load compared to those with TB mono-infection (p = 0.0026). They had lower levels of IL17A in ex vivo sputum (p = 0.0275) and higher MCP-1 (CCL2) levels in the blood following PPD stimulation (p = 0.0267). TB/Flu co-infected subjects had significantly higher IFN-+IL-17+CD4+ and IFN-+IL-17-CD8+ cells compared to TB mono-infected subjects. Conclusions: These data show that Flu co-infection at time of TB diagnosis is associated with a higher bacterial load and differential cellular and soluble profiles. These findings show for the first time the impact of TB/Flu co-infection in a human cohort and support the potential benefit of Flu vaccination in TB-endemic settings."
De Francesco MA and Colombrita D and Pinsi G and Gargiulo F and Caligaris S and Bertelli D and Martinelli F and Gao J and Turano A,European journal of clinical microbiology & infectious diseases : official and publication of the European Society of Clinical Microbiology,1996,NA,10.1007/BF01709362,NA,8874071,NA,"Acquired Immunodeficiency Syndrome/*complications and Cross Reactions and Humans and Leukocytes, Mononuclear/microbiology and Mycobacterium avium/*isolation & purification and Mycobacterium avium Complex/genetics and Mycobacterium avium-intracellulare Infection/blood/complications/*diagnosis and Polymerase Chain Reaction/*methods",NA,"Journal Article and Research Support, Non-U.S. Gov't",Detection and identification of Mycobacterium avium in the blood of AIDS patients by the polymerase chain reaction.,0,"One hundred fifty-three blood samples from patients positive for the human immunodeficiency virus (HIV) were analyzed by polymerase chain reaction (PCR) to detect the presence of Mycobacterium avium. Samples were collected from patients who also had blood cultures performed by a radiometric method. Blood samples were centrifuged on a Ficoll-Hypaque gradient to purify peripheral blood mononuclear cells. The purified cells were washed and incubated with a resin, boiled to release mycobacterial DNA, and then amplified. Polymerase chain reaction products were detected by a nonisotopic method. A 123 base-pair (bp) insertion sequence, namely IS6110, from Mycobacterium tuberculosis complex was also included in the reaction as an internal control of Taq polymerase activity to exclude the presence of enzyme inhibitors. This IS6110 fragment can be distinguished from the 383 bp target product on ethidium bromide-stained agarose gel and may also be used in a colorimetric assay. Such results were compared with the results of culture and indicated that the assay is as sensitive as bacteriological methods, though faster."
Gehlen M and Costa ERD and Rossetti MLR and Silva DR,PloS one,2020,NA,10.1371/journal.pone.0234565,NA,32525926,NA,"Adolescent and Adult and Aged and Brazil and Case-Control Studies and Female and Humans and Intramolecular Oxidoreductases/*genetics and Macrophage Migration-Inhibitory Factors/*genetics and Male and Middle Aged and *Polymorphism, Single Nucleotide and Tuberculosis, Pulmonary/*genetics/pathology",NA,"Journal Article and Research Support, Non-U.S. Gov't",Macrophage migration inhibitory factor -173 G>C single nucleotide polymorphism and its association with active pulmonary tuberculosis.,0,"PURPOSE: The establishment of candidate genes associated with susceptibility to TB is a challenge especially due to divergent frequencies among different populations. The objective of this study was to evaluate the association between macrophage migration inhibitory factor (MIF) -173 G>C single nucleotide polymorphism (SNP) and susceptibility to pulmonary TB in a population of southern Brazil. METHODS: Case-control study. Patients > 18 years old, diagnosed with pulmonary TB were included. The control group consisted of blood donors and household contacts, not relatives, healthy and > 18 years old. MIF -173 G>C SNPs were genotyped using real-time PCR using a TaqMan SNP Genotyping assay. RESULTS: 174 patients and 166 controls were included. There were no statistically significant differences between cases and controls regarding genotype prevalence (p>0.05). Comparing patients with normal genotype (GG) with those with at least one C allele, there was also no statistically significant difference (p = 0.135). Also, there was no statistically significant difference comparing the homozygous for the mutation (CC) with the other patients (GG and CG) (p = 0.864). CONCLUSIONS: We did not find association between MIF -173 G>C polymorphism and susceptibility to pulmonary TB."
Markova N and Slavchev G and Djerov L and Nikolov A and Dimova T,Human vaccines & immunotherapeutics,2016,NA,10.1080/21645515.2016.1193658,NA,27294392,NA,"BCG Vaccine/*administration & dosage and Female and Fetal Blood/*microbiology and Healthy Volunteers and Humans and Infant, Newborn and L Forms/genetics/*isolation & purification/ultrastructure and Microscopy, Electron, Transmission and Mycobacterium bovis/genetics/*isolation & purification/ultrastructure and Real-Time Polymerase Chain Reaction",*BCG and *L-forms and *cord blood and *mycobacteria and *newborns,Journal Article,Mycobacterial L-forms are found in cord blood: A potential vertical transmission of BCG from vaccinated mothers.,0,"Our previous studies showed that mycobacterial L-forms persist in the blood of BCG vaccinated people and that BCG vaccine is able to produce, under appropriate conditions, filterable, self-replicating L-bodies with virus-like size. Because filterability is one of the characteristics of L-forms, considerable interest has been shown in their capacity to cross the maternal-fetal barrier. The current study demonstrated isolation of mycobacterial L-form cultures from umbilical cord blood of 5 healthy newborns of healthy mothers vaccinated previously with BCG. The isolated cultures showed distinctive growth characteristics of cell wall deficient L-form bacteria. Transmission electron microscopy demonstrated presence of L-bodies with extremely small size of 100nm and revealed morphological transformations, typical for L-forms. IS6110 Real Time PCR assay confirmed that all L-form isolates were of mycobacterial origin and belonged to Mycobacterium tuberculosis complex which includes vaccinal BCG substrains. In conclusion, we could suggest that reproductive filterable L-bodies of BCG origin are able to fall in blood circulation of the fetus by vertical transmitted pathway and colonize newborns."
Gao S and Wang Z and Xie Y,Medicine,2018,NA,10.1097/MD.0000000000011533,NA,30024541,NA,Animals and Brain/diagnostic imaging and High-Throughput Nucleotide Sequencing/methods and Humans and Infant and Magnetic Resonance Imaging and Male and Multiplex Polymerase Chain Reaction/methods and Mutation and Phenotype and Polymerase Chain Reaction and Tuberous Sclerosis/*genetics and Tuberous Sclerosis Complex 2 Protein and Tumor Suppressor Proteins/*genetics,NA,Case Reports and Journal Article,Two novel TSC2 mutations in pediatric patients with tuberous sclerosis complex: Case report.,0,"RATIONALE: Tuberous sclerosis complex (TSC) is a rare autosomal dominant disorder. The TSC1 and TSC2 genes have been identified as pathogenic genes. PATIENT CONCERNS: In this report, we are discussing a novel frameshift mutation and a novel missense mutation in the TSC2 gene. DIAGNOSES: The two cases discussed in this study met the latest diagnostic criteria for TSC published by the International Tuberculosis Sclerosis Complex Consensus Conference in 2012. INTERVENTIONS: High-throughput sequencing and multiplex ligation-dependent probe amplification (MLPA) were used to examine tuberous sclerosis complex (TSC)-related genes (TSC1 and TSC2) and their splicing regions using peripheral blood DNA from two probands in two families with TSC and to identify the genetic mutation sites. Amplification primers were designed for the mutation sites, and polymerase chain reaction and Sanger sequencing were used to verify the peripheral blood DNA sequences from the probands and their parents. OUTCOME: Proband 1 had the c.1228 (exon 12)_c.1229 (exon 12) insG (p.L410RfsX11) heterozygous mutation in the TSC2 gene (chr16), which was a new frameshift mutation. Proband 2 had the c.4925G>A (exon 38) (p.G1642D) heterozygous mutation in the TSC2 gene (chr16), which was a new missense mutation. LESSONS: These two novel mutations may be pathogenic mutations for TSC, and their association with the disease needs to be further verified by mutant protein function cell model and animal model."
Babu PP and Kumar PS and Mohan A and Kumar BS and Sarma PVGK,Cytokine,2017,NA,10.1016/j.cyto.2017.07.003,NA,28697396,NA,"3' Untranslated Regions/*genetics and Adult and Amino Acid Sequence and DNA/genetics/isolation & purification and Exons/*genetics and Flow Cytometry and Humans and India and Interferon-gamma/genetics/metabolism and Interleukin-12 Subunit p40/chemistry/*genetics/metabolism and Introns/*genetics and Molecular Dynamics Simulation and Monocytes/metabolism and Mutation/*genetics and Polymerase Chain Reaction and Protein Structure, Secondary and Sequence Analysis, DNA and Tuberculosis, Pulmonary/*genetics",*FN3 domain and *IL-12B and *M. tuberculosis and *NSP-PTB and *ZN score,Journal Article,"Novel mutations in the exon 5, intron 2 and 3' UTR regions of IL-12B gene were observed in clinically proven tuberculosis patients of south India.",0,"Interleukin-12 (IL-12) is formed by the interaction of IL-12p35 and IL-12p40 expressed independently from IL-12A and IL-12B genes. This interleukin plays prominent role in the T-helper type-1 (Th1) response against intracellular pathogens. Variations in IL-12B gene causes disruption of various activities one of them is suppression of Th1 response and is one of the characteristic features observed in patients with active tuberculosis. Hence, in the present study IL-12B gene status was evaluated in 50 new sputum smear-positive pulmonary tuberculosis patients (NSP-PTB) as identified by Ziehl-Nielsen (ZN) staining and 50 apparently healthy control subjects (HCS) who were sputum smear-negative. The sequence analysis showed novel missense mutations p.Ser205Ile, p.Leu206Glu, p.Pro207Ser, p.Glu209Lys, p.Val210Ser, p.(Ser205_Cys327delinsIleGlu) and p.(Lys217_Leu218delinsIle) were found in exon 5 of the IL-12B gene in nine patients resulting formation of inactive IL-12 and three patients showed novel frame shift mutations p.(Asn222Leufs23) in exon 5 of causing the formation of truncated protein. Several mutations were noted in intron 2 of the IL-12B gene in 5 patients and in 13 patients mutations were observed in 3' UTR region. All together 30/50 patients (60%) showed mutations in IL-12B gene. Decreased levels of interferon-gamma (IFN-) and IL-12 as determined by ELISA and flow cytometry were observed in the peripheral blood mononuclear cell culture supernatants in TB patients having mutations compared with control subjects. Further, in silico analysis revealed due to frame shift mutations in exon 5 at Asn222 resulted in deletion of functional fibronectin type-III (FN3) domain which leads to formation of inactive IL-12 in these patients."
Karat AS and Omar T and von Gottberg A and Tlali M and Chihota VN and Churchyard GJ and Fielding KL and Johnson S and Martinson NA and McCarthy K and Wolter N and Wong EB and Charalambous S and Grant AD,PloS one,2016,NA,10.1371/journal.pone.0166158,NA,27829072,NA,"Adult and Autopsy/statistics & numerical data and CD4 Lymphocyte Count and Cryptococcosis/epidemiology/etiology and Female and HIV Infections/*complications/pathology and Humans and Liver/pathology and Lung/pathology and Male and Pneumonia, Pneumocystis/epidemiology/etiology and Prevalence and Primary Health Care/statistics & numerical data and South Africa/epidemiology and Spleen/pathology and Tuberculosis, Pulmonary/*epidemiology/etiology",NA,Journal Article,Autopsy Prevalence of Tuberculosis and Other Potentially Treatable Infections among Adults with Advanced HIV Enrolled in Out-Patient Care in South Africa.,0,"BACKGROUND: Early mortality among HIV-positive adults starting antiretroviral therapy (ART) remains high in resource-limited settings, with tuberculosis (TB) the leading cause of death. However, current methods to estimate TB-related deaths are inadequate and most autopsy studies do not adequately represent those attending primary health clinics (PHCs). This study aimed to determine the autopsy prevalence of TB and other infections in adults enrolled at South African PHCs in the context of a pragmatic trial of empiric TB treatment (""TB Fast Track""). METHODS AND FINDINGS: Adults with CD4 150 cells/L, not on ART or TB treatment, were enrolled to TB Fast Track and followed up for at least six months. Minimally invasive autopsy (MIA) was conducted as soon as possible after death. Lungs, liver, and spleen were biopsied; blood, CSF, and urine aspirated; and bronchoalveolar lavage fluid obtained. Samples underwent mycobacterial, bacterial, and fungal culture; molecular testing (including Xpert MTB/RIF); and histological examination. 34 MIAs were conducted: 18 (53%) decedents were female; median age was 39 (interquartile range 33-44) years; 25 (74%) deaths occurred in hospitals; median time from death to MIA was five (IQR 3-6) days. 16/34 (47%) had evidence of TB (14/16 [88%] with extrapulmonary disease; 6/16 [38%] not started on treatment antemortem); 23 (68%) had clinically important bacterial infections; four (12%) cryptococcal disease; three (9%) non-tuberculous mycobacterial disease; and two (6%) Pneumocystis pneumonia. Twenty decedents (59%) had evidence of two or more concurrent infections; 9/16 (56%) individuals with TB had evidence of bacterial disease and two (13%) cryptococcal disease. CONCLUSIONS: TB, followed by bacterial infections, were the leading findings at autopsy among adults with advanced HIV enrolled from primary care clinics. To reduce mortality, strategies are needed to identify and direct those at highest risk into a structured pathway that includes expedited investigation and/or treatment of TB and other infections."
