author,journal,year,document_type,doi,url,pubmed_id,author_keywords,mesh_terms,keywords,publication_type,title,abstract
Reischl U and Lehn N and Wolf H and Naumann L,Journal of clinical microbiology,1998,NA,10.1128/JCM.36.10.2853-2860.1998,NA,9738032,NA,Automation and Bronchoalveolar Lavage Fluid/microbiology and Humans and Mycobacterium avium Complex/classification/growth & development/*isolation & and purification and Mycobacterium avium-intracellulare Infection/blood/cerebrospinal fluid/*diagnosis and Polymerase Chain Reaction/*instrumentation/*methods and Reproducibility of Results and Wounds and Injuries/microbiology,NA,Comparative Study and Journal Article,Clinical evaluation of the automated COBAS AMPLICOR MTB assay for testing respiratory and nonrespiratory specimens.,"We evaluated the COBAS AMPLICOR PCR system (Roche Diagnostics) for the routine detection of Mycobacterium tuberculosis complex (MTBC) in clinical specimens. Diagnostic culture, considered as the reference method, was performed with BACTEC, Lwenstein-Jensen, Stonebrink, and Kirchner media. Occasionally MB-Redox, ESP, or MGIT medium was also used. A total of 643 respiratory and 506 nonrespiratory specimens collected from 807 patients were investigated. Of the 95 culture-positive specimens, 80 were COBAS AMPLICOR MTB positive, and of the 1,054 culture-negative specimens, 1,044 were COBAS AMPLICOR MTB negative. After resolving discrepancies by review of the medical history, the overall sensitivity, specificity, and positive and negative predictive values for the COBAS AMPLICOR MTB assay, respectively, were 83.5, 98.8, 86.7, and 98.6% compared to those of diagnostic culture. In smear-positive specimens, the sensitivity of the COBAS AMPLICOR MTB assay was 96%, versus 48% for smear-negative specimens. No significant differences in the test performance between respiratory and nonrespiratory specimens were observed. The overall inhibition rate was less than 2%, excluding stool specimens. The clear advantages of the COBAS AMPLICOR PCR system are standardized procedures and reagents for specimen processing as well as an internal control for reliable monitoring of PCR inhibitors. By simplifying the work flow through a completely automated amplification and amplicon detection procedure, the COBAS AMPLICOR PCR system proved itself as a very useful component for routine diagnostic procedures."
Matos K and Muccioli C and Belfort Junior R and Rizzo LV,Arquivos brasileiros de oftalmologia,2007,NA,10.1590/s0004-27492007000100020,NA,17505729,NA,AIDS-Related Opportunistic Infections/blood/*diagnosis/microbiology/virology and Adult and *Aqueous Humor/microbiology/virology and Case-Control Studies and Female and Humans and Male and Middle Aged and Polymerase Chain Reaction/*methods and Sensitivity and Specificity and Uveitis/blood/*diagnosis/microbiology/virology and *Vitreous Body/microbiology/virology,NA,Journal Article,"Correlation between clinical diagnosis and PCR analysis of serum, aqueous, and vitreous samples in patients with inflammatory eye disease.","PURPOSE: To study the applicability (sensitivity, specificity) of polymerase chain reaction (PCR) tests in the detection of cytomegalovirus (CMV), herpes virus (HSV) and varicella zoster (VZV), Epstein-Barr virus (EBV), Mycobacterium sp and Toxoplasma gondii in the diagnosis of patients with or without AIDS, with presumably infectious uveitis, using serum, aqueous humor and vitreous humor samples. METHODS: Twenty individuals with uveitis of presumed infectious origin were evaluated. Sixteen of them had AIDS, four were immunocompetent individuals. We also evaluated 4 normal controls who underwent vitrectomy surgery. Clinical evaluation of the patients was performed together by three clinicians. PCR evaluations of the serum, aqueous, and vitreous humor were performed in a masked fashion by the laboratory staff. RESULTS: Twelve patients had a clinical diagnosis of CMV retinitis. Of these 6 (50%) had a positive PCR for CMV in the vitreous, three (25%) had a positive PCR for CMV in the serum, and none were positive in the aqueous. Five patients had a clinical diagnosis of acute retinal necrosis (ARN). Three (60%) of these had positive PCR for HSV/VZV in the vitreous. One of these patients had a positive PCR reaction for both EBV and HSV/VZV in the vitreous samples. One patient with cutaneous herpes zoster had a positive PCR reaction for HSV/VZV in the serum. Four patients had a presumed diagnosis of ocular toxoplasmosis, one patient (25%) had a positive PCR for Toxoplasma gondii in the serum, 3 (75%) had positive results in the aqueous, and 2 (50%) had positive results in the vitreous. One patient with presumed ocular tuberculosis had a positive PCR reaction both in the serum and in the vitreous samples. Finally, none of the four control individuals revealed any positive PCR reaction. CONCLUSION: PCR is an auxiliary diagnostic procedure that should be evaluated together with ophthalmological aspects of the patient."
"Stauffer, F. and Haber, H. and Rieger, A. and Mutschlechner, R. and Hasenberger, P. and Tevere, V.J. and Young, K.K.Y.",Journal of Clinical Microbiology,1998,Article,10.1128/jcm.36.3.614-617.1998,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031890982&doi=10.1128%2fjcm.36.3.614-617.1998&partnerID=40&md5=0de9342362906e0cfcd2bff1de1f8af0,9508282,NA,NA,article;  bacterium identification;  controlled study;  diagnostic accuracy;  gene amplification;  human;  human cell;  laboratory diagnosis;  major clinical study;  Mycobacterium avium;  Mycobacterium tuberculosis;  polymerase chain reaction;  priority journal;  species difference,NA,Genus level identification of mycobacteria from clinical specimens by using an easy-to-handle Mycobacterium-specific PCR assay,"An easy-to-handle Mycobacterium-specific PCR assay for detection of the presence of a wide range of mycobacterial species in clinical samples was evaluated. The performance of the genus probe was compared with the performance of probes specific for Mycobacterium tuberculosis and Mycobacterium avium and with that of standard culture. In addition, the utility of an internal control in monitoring amplification inhibitors was studied. Of 545 respiratory and 325 nonrespiratory specimens (a total of 870 specimens), 58 (6.7%) showed the presence of amplification inhibitors, as determined by a negative result for the internal control. Of these 58 specimens, 31 (53%) were stool specimens; other material, even titrate blood after lysis of erythrocytes, did not pose a problem with regard to inhibition of PCR amplification. Eighty-one of the remaining 812 specimens had a positive Mycobacterium culture result. Of these culture-positive specimens, 58 (71.6%) showed a positive result with the Mycobacterium genus-specific probe. Seventy-two samples had a positive result with the Mycobacterium- specific probe but a negative culture result. Of these 72 samples, 26 samples were regarded as true positive, either because the M. tuberculosis- or M. avium-specific probe was also positive at the same time or because other specimens from the same patient taken at the same time were culture positive. The sensitivity of the Mycobacterium-specific probe was 78.5% and the specificity was 93.5%. This study showed that pretesting of clinical specimens for mycobacteria to the genus level with a Mycobacterium-specific probe offers the routine clinical laboratory the possibility of detecting tuberculous and nontuberculous mycobacteria with one test. Furthermore, specimens testing positive with the genus-specific probe can be immediately identified with species specific probes."
Gamboa F and Manterola JM and Lonca J and Matas L and Viado B and Gimnez M and Cardona PJ and Padilla E and Ausina V,Journal of clinical microbiology,1997,NA,10.1128/JCM.35.8.2124-2128.1997,NA,9230395,NA,"AIDS-Related Opportunistic Infections/blood/microbiology and Adult and Bacteriological Techniques and Bone Marrow/microbiology and DNA, Bacterial/analysis and Evaluation Studies as Topic and Female and Humans and Male and Middle Aged and Mycobacterium/genetics/*isolation & purification and Polymerase Chain Reaction and RNA, Bacterial/analysis and RNA, Ribosomal, 16S/analysis",NA,Journal Article,Detection and identification of mycobacteria by amplification of RNA and DNA in pretreated blood and bone marrow aspirates by a simple lysis method.,"A sodium dodecyl (lauryl) sulfate method was evaluated for the preparation of blood specimens and bone marrow aspirates for use in two amplification procedures (Gen-Probe Amplified Mycobacterium Tuberculosis Direct Test [AMTDT] and Roche Amplicor M. avium/M. intracellulare [MAI] Test) for the detection and identification of Mycobacterium tuberculosis and M. avium and M. intracellulare, respectively. The AMTDT is based on amplification of rRNA, whereas the Amplicor MAI Test amplifies a specific DNA region of the 16S rRNA gene. The results of amplification techniques were compared with those of standard culture and culture in BACTEC 13A and BACTEC 12B liquid media. A total of 121 blood specimens and 15 bone marrow aspirates were collected from 136 AIDS patients. Mycobacterial growth was recovered for 103 specimens; 35 yielded M. tuberculosis, 62 yielded M. avium, 5 yielded M. genavense, and 1 yielded M. kansasii. The values of sensitivity and specificity in pretreated specimens for detection of M. tuberculosis by the AMTDT were 94.3 and 100%, respectively, and those for detection of M. avium by the Amplicor MAI Test were 91.9 and 100%, respectively. The simple lysis method described in the present work allows the recovery of mycobacteria from blood specimens and bone marrow aspirates and may be used in combination with the AMTDT and the Amplicor MAI Test to detect and identify different members of the genus Mycobacterium. This method might also be applicable for the identification of mycobacteria from blood culture fluids with acridinium-ester-labeled DNA probes."
da Cruz HL and de Albuquerque Montenegro R and de Arajo Lima JF and da Rocha Poroca D and da Costa Lima JF and Maria Lapa Montenegro L and Crovella S and Charifker Schindler H,Brazilian journal of microbiology : [publication of the Brazilian Society for and Microbiology],2011,NA,10.1590/S1517-83822011000100041,NA,24031638,NA,NA,IS6110 insertion sequence and Mycobacterium tuberculosis and blood and molecular diagnosis and nested-PCR and urine,Journal Article,Evaluation of a nested-PCR for mycobacterium tuberculosis detection in blood and urine samples.,"The polymerase chain reaction (PCR) and its variations, such as the nested-PCR, have been described as promising techniques for rapid diagnosis of tuberculosis (TB). With the aim of evaluating the usefulness of a nested-PCR method on samples of blood and urine of patients suspected of tuberculosis we analyzed 192 clinical samples, using as a molecular target the insertion element IS6110 specific of M. tuberculosis genome. Nested-PCR method showed higher sensitivity in patients with extrapulmonary tuberculosis (47.8% and 52% in blood and urine) when compared to patients with the pulmonary form of the disease (sensitivity of 29% and 26.9% in blood and urine), regardless of the type of biological sample used. The nested-PCR is a rapid technique that, even if not showing a good sensitivity, should be considered as a helpful tool especially in the extrapulmonary cases or in cases where confirmatory diagnosis is quite difficult to be achieved by routine methods. The performance of PCR-based techniques should be considered and tested in future works on other types of biological specimens besides sputum, like blood and urine, readily obtainable in most cases. The improving of M. tuberculosis nested-PCR detection in TB affected patients will give the possibility of an earlier detection of bacilli thus interrupting the transmission chain of the disease."
"Kamatchiammal, S. and Saravanakumar, D. and Kumarasamy, N. and Solomon, S. and Sritharan, M. and Sritharan, V.",Indian Journal of Clinical Biochemistry,2000,Article,10.1007/BF02883732,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950420808&doi=10.1007%2fBF02883732&partnerID=40&md5=250913676299b803e0cd79a4935cdc34,NA,DNA probes;  Mycobacteremia;  Mycobacterium tuberculosis;  Polymerase chain reaction;  Tuberculosis diagnosis in AIDS,NA,NA,NA,Direct diagnosis of mycobacterium tuberculosis in blood samples of hiv infected patients by polymerase chain reaction,"We have developed a simple, economical and reproducible method for processing blood samples from HIV infected patients for diagnosis of tuberculosis. The procedure was validated on 55 samples selected for tuberculosis based on clinical criteria. 52 patients had radiological changes indicative of pulmonary tuberculosis of which only 28 were positive for AFB in sputum (sensitivity 54%) and 27 for tuberculin (sensitivity 52%). 26 HIV positive patients who showed positive X-ray did not react to tuberculin. The genus PCR probe missed 3 samples (sensitivity 94%) compared to X-ray. M.tuberculosis was detected in the blood of all X-ray positive cases by PCR using TB400 probe (sensitivity 100%) and another probe for Af. tuberculosis, IS6110, missed 6 of them (sensitivity 88% compared to X-ray and 89% compared to TB400). It is proposed that this simple sample processing method could be used to screen all blood samples quickly for mycobacteremia using the genus PCR and only those positive for mycobacteria need to be tested for M. tuberculosis. This would save the scarce resources and time by reducing significantly the number of samples to be screened for species confirmation."
Garca-Elorriaga G and Martnez-Elizondo O and Del Rey-Pineda G and Gonzlez-Bonilla C,Asian Pacific journal of tropical biomedicine,2014,NA,10.12980/APJTB.4.201414B112,NA,25183281,NA,NA,Molecular diagnosis and Nested polymerase chain reaction and Osteoarticular tuberculosis and Sensitivity and Specificity,Journal Article,"Clinical, radiological and molecular diagnosis correlation in serum samples from patients with osteoarticular tuberculosis.","OBJECTIVE: To assess the role of polymerase chain reaction (PCR) in serum samples, in the diagnosis of osteoarticular tuberculosis (OTB) in a setting where only clinical and imaging diagnoses determine the treatment. METHODS: A total of 44 consecutive serum specimens were collected from clinically suspected OTB patients, based on clinical and radiological [X-ray or magnetic resonance imaging/computed tomography] features. They were screened by in-house nested PCR. In addition, a few specimens were examined by Gram stain, acid-fast bacilli stain, histopathology and routine bacterial culture. A total of 39 specimens were collected from patients suffering from other bone diseases of nontuberculous origin and included as negative controls. RESULTS: Of the 44 clinically suspected OTB patients, in-house nested PCR was positive in 40 (91%) cases; PCR was negative in 38 (97%) negative controls. Sensitivity and specificity of our in-house nested PCR was 90.9% and 97.4%, respectively. The PCR report was available within 48 h. It was possible to standardize serum PCR technique and in positive cases, a good correlation was observed in terms of an adequate treatment response. CONCLUSIONS: Nested PCR in serum samples is a rapid, highly sensitive and specific modality for OTB detection. PCR should be performed in addition to clinical evaluation, imaging studies, acid-fast bacilli staining, culture and histopathology diagnosis, if possible."
"Chaubey, L. and Kumar, D. and Prakash, V. and Nath, G.",Journal of Human Reproductive Sciences,2019,Article,10.4103/jhrs.JHRS_149_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064255946&doi=10.4103%2fjhrs.JHRS_149_17&partnerID=40&md5=6bdcd4f7d25186d3f1247ea79b5a4df0,NA,Endometrial tissue;  genital tuberculosis;  menstrual blood;  polymerase chain reaction,NA,"heat shock protein 65;  Taq polymerase, adult;  amenorrhea;  Article;  diagnostic accuracy;  diagnostic test accuracy study;  dysmenorrhea;  early diagnosis;  endometrium biopsy;  erythrocyte sedimentation rate;  female;  female genital tract infection;  female infertility;  human;  human tissue;  leukocyte count;  major clinical study;  malaise;  menorrhagia;  menstruation;  Mycobacterium tuberculosis;  nested polymerase chain reaction;  nucleotide sequence;  oligomenorrhea;  predictive value;  urogenital tuberculosis",NA,Menstrual blood versus endometrial biopsy in detection of genital tuberculosis by using nested polymerase chain reaction in an endemic region,"Aim: The aim of this study is to compare the results of nested polymerase chain reaction (PCR) for early detection of genital tuberculosis (GTB) using menstrual blood (MB) and endometrial tissue (ET) as samples in females presenting as infertility. Methods: The ET and MB samples were collected from a total of 194 females, enrolled in this study. DNA isolation from samples was done using standard, phenol-chloroform method. Heat shock protein gene (hsp65/groEL2) of Mycobacterium tuberculosis was targeted and amplified, and the final products were analyzed. Results: Overall, 126 (65%) cases of infertility were positive for M. tuberculosis complex by nested PCR. The detection rates in the two samples were statistically insignificant. The combined positivity rate of ET and MB, when compared with positivity rate in MB showed a positive predictive value, negative predictive value, and accuracy of 100%, 68.7%, and 84%, respectively. The results of nested PCR using MB as sample alone showed good agreement with the nested PCR results of the combined samples. Conclusions: The hsp65 Nested PCR of MB can be used as a noninvasive screening test for early diagnosis of GTB.  2019 Journal of Human Reproductive Sciences."
Manke SD and Husain AA and Daginawala HF and Singh LK and Kashyap RS,Journal of clinical and diagnostic research : JCDR,2017,NA,10.7860/JCDR/2017/24493.9668,NA,28571129,NA,NA,Gel electrophoresis and Loop mediated isothermal amplification and Mycobacterium tuberculosis,Journal Article,Comparative Diagnostic Utility of IS6110 PCR Assay in CSF and Peripheral Blood Samples of Tuberculous Meningitis Patients: A Pilot Study from Central India.,"INTRODUCTION: Tuberculous Meningitis (TBM) is the most severe form of Central Nervous System Tuberculosis (CNS-TB) and constitutes about 6% of all Extrapulmonary TB (EPTB) cases. Most guidelines for the diagnosis and management of TBM agree on the use of simple Cerebrospinal Fluid (CSF) analysis using molecular tools like Polymerase Chain Reaction (PCR). However, the sensitivity of PCR varies while using a CSF sample. In the present study, we have compared the diagnostic utility of PCR assay in both peripheral blood and CSF sample collected from TBM cases. AIM: To evaluate the application of the peripheral blood PCR assay as an alternate tool for TBM diagnosis compared to conventional CSF-PCR based system. MATERIALS AND METHODS: A total of 50 TBM patients were prospectively recruited from in patient department wards of Central India Institute of Medical Sciences (CIIMS) between January 2014 - Feburary 2015. Mycobacterium tuberculosis (MTB) specific IS6110 PCR and BactT liquid culture were performed in 20 of recruited cases classified as Stage 1, 2 and 3 based on British Medical Research Council (BMRC) contemporary clinical criteria for the severity of TBM. Clinical characteristics were summarised in terms of percentages for categorical variables, i.e., age groups, gender, signs and symptoms. All statistical analysis was carried out using MedCalc software version 11.6. RESULTS: Overall IS6110 PCR positivity in CSF was around 80% (16/20), which was higher than culture (29.3%) and peripheral blood (39%). Out of 8 positive cases, stage wise positivity of peripheral blood PCR assay in three TBM stages was 0% (stage1) 50% (stage 2) and 67% (Stage 3) respectively. Positivity of peripheral blood PCR was significantly more (86%) in patients with CSF culture/ IS6110 PCR positive for MTB infection with sensitivity and specificity of 50 and 100% respectively. Increased positivity rates of peripheral blood PCR was observed with decreased CSF/Blood sugar ratio in stage 3 cases, suggesting enhanced probability of mycobacterial blood dissemination in cases of TBM severity. CONCLUSION: Our results suggest that although the molecular diagnosis of TBM infection in CSF remains the method of choice, peripheral blood based PCR can be used as a good alternative to CSF in case of TBM severity where the repeated CSF collection may be needed. However, study demands further validation in large cohorts to justify the present hypothesis."
Amin I and Idrees M and Awan Z and Shahid M and Afzal S and Hussain A,BMC research notes,2011,NA,10.1186/1756-0500-4-332,NA,21899772,NA,NA,NA,Journal Article,PCR could be a method of choice for identification of both pulmonary and extra-pulmonary tuberculosis.,"BACKGROUND: Nucleic acid amplification assays including PCR have revolutionized the detection of Mycobacterium tuberculosis (MTB). Tuberculosis spread to almost every organ of the body and is characterized on the basis of localization of infection. Therefore, different types of body fluids and tissues can be used for the detection of MTB.From 2004 to 2010 total 766 different types of smear negative samples from patients, clinically suspected for tuberculosis were received and investigated at Division of Molecular Diagnostics, University of the Punjab Lahore for the diagnosis of tuberculosis. Mycobacterial DNA was extracted followed by PCR amplification. FINDINGS: A total of 356 (46.5%) samples were found positive by PCR for MTB. These included; serum (4.8%), blood (36.3%), urine (46.6%), cerebro spinal fluid (CSF) (42.1%), ascetic fluid (67.6%), pleural fluid (52%), pericardial fluid (30%), pus (38.6%), bone marrow (60%), sputum (38.8%) and bronchoalveolar lavage (BAL) (70%). Over all there was no significant difference in males and females neither in different age groups for the identification of MTB. CONCLUSION: We conclude that PCR is a useful and sensitive tool for the early diagnosis of MTB in variety of clinical samples."
Mayito J and Andia Biraro I and T Reece S and R Martineau A and P Kateete D,AAS open research,2020,NA,10.12688/aasopenres.13108.1,NA,32832853,NA,NA,Latent tuberculosis infection and blood biomarker and hematopoietic stem cells.,Journal Article,Detection of Mycobacterium tuberculosis DNA in CD34 (+) peripheral blood mononuclear cells of Ugandan adults with latent infection: a cross-sectional and nested prospective study.,"Background: Tuberculin skin test and interferon gamma release assay (IGRA) show limitations in diagnosing latent tuberculosis infection (LTBI) and poorly predict progression to active tuberculosis. This study will explore detection of Mycobacterium tuberculosis ( M.tb) DNA in CD34 (+) peripheral blood mononuclear cells (PBMCs) as a biomarker for LTBI and monitoring chemoprophylaxis response. Methods: In a cross-sectional study, 120 household contacts (60 HIV positive and 60 HIV negative) will be recruited. Also, 10 patients with sputum positive pulmonary tuberculosis and 10 visitors from low incidence countries with no history of TB treatment will be recruited as positive and negative controls, respectively. Participants will donate 100 ml (50 ml for TB patients) of blood to isolate PBMCs using density gradient centrifugation. Isolated PBMCs will be separated into CD34 (+) and CD34 (-) enriched cellular fractions. DNA from each fraction will be purified, quantified and subjected to droplet digital PCR targeting IS6110 (a M.tb Complex multi-copy gene) and rpoB, a single copy gene. Also, 4 ml of blood will be drawn for IGRA. In a nested prospective study, 60 HIV positive participants will be given 300 mg of Isoniazid Preventive Therapy (IPT) daily for six months, after which they will donate a second 100 ml blood sample that will be processed as described above. Data from the cross-sectional study will be analysed to determine the proportion of individuals in whom M.tb DNA is detectable in CD34 (+) and CD34 (-) fractions and number of M.tb genomes present. Data from the prospective study will be analysed to compare the proportion of individuals with detectable M.tb DNA in CD34 (+) and CD34 (-) fractions, and median M.tb genome copy number, post vs pre-IPT. Discussion: This study will determine whether detection of M.tb DNA in CD34 (+) PBMCs holds promise as a biomarker for LTBI and monitoring chemoprophylaxis response."
"Sharma, K. and Appannanavar, S.B. and Modi, M. and Singh, M. and Sharma, A. and Varma, S.",Indian Journal of Pathology and Microbiology,2015,Article,10.4103/0377-4929.151164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930358081&doi=10.4103%2f0377-4929.151164&partnerID=40&md5=431cc7f3f65d42ef262ec85b7d6fe8d5,25673587,Extra-pulmonary tuberculosis;  IS6110;  multiplex polymerase chain reaction;  Protein b antigen,NA,"blood group B antigen;  antigens, bacterial;  culture media;  DNA transposable elements;  dna, bacterial;  protein antigen b, Mycobacterium, Article;  ascites fluid;  bacterium culture;  bacterium detection;  controlled study;  DNA extraction;  extrapulmonary tuberculosis;  follow up;  gene insertion sequence;  human;  India;  intermethod comparison;  major clinical study;  microscopy;  multiplex polymerase chain reaction;  Mycobacterium tuberculosis;  nonhuman;  pleura fluid;  predictive value;  sputum smear;  synovial fluid;  tertiary care center;  bacteriological techniques;  biopsy;  body fluids;  chemistry;  comparative study;  culture media;  cytology;  DNA transposable elements;  evaluation;  genetics;  growth and development;  Humans;  India;  isolation and purification;  methods;  Microscopy;  Molecular Diagnostic Techniques;  Multiplex Polymerase Chain Reaction;  Mycobacterium tuberculosis;  Sensitivity and Specificity;  Tertiary Care Centers;  Tuberculosis, Antigens, Bacterial;  Bacteriological Techniques;  Biopsy;  Body Fluids;  Culture Media;  DNA Transposable Elements;  DNA, Bacterial;  Humans;  India;  Microscopy;  Molecular Diagnostic Techniques;  Multiplex Polymerase Chain Reaction;  Mycobacterium tuberculosis;  Sensitivity and Specificity;  Tertiary Care Centers;  Tuberculosis",NA,Role of multiplex polymerase chain reaction using IS6110 and Protein b for the diagnosis of extra-pulmonary tuberculosis: North India,"Background: Prompt and accurate diagnosis of extra-pulmonary tuberculosis (TB) is highly challenging. Current conventional techniques lack sensitivity and are time-consuming. Here, we report our experience with multiplex polymerase chain reaction (MPCR) using two targets namely IS6110 and protein antigen b in the diagnosis of extra-pulmonary TB. Materials and Methods: A total of 150 patients of extra-pulmonary TB visiting tertiary care center in north India between September 2008 and December 2009 were included in the study. Sixty-six biopsy samples and 84 were body fluids from these patients were subjected for microscopy (Ziehl-Neelsen), culture on LJ medium and for Multiplex PCR using IS6110 and Protein b antigen. Results: Smear positivity was noted in 11 samples (7.33%), and LJ culture yielded Mycobacterium tuberculosis in 8 biopsies and 9 body fluids with overall positivity of 11.3%. The multi-targeted PCR could detect M. tuberculosis in a total of 112 samples. Of 112 positive samples, only Protein b band was detected in 7 samples and only IS6110 was detected in 5 samples. Overall Protein b, PCR could detect 71.33% of the cases, whereas IS6110 was positive in 66.6% of the cases. Overall the sensitivities of microscopy, culture, IS6110 PCR, Protein b PCR and MPCR were 7.33%, 11.3%, 66.67%, 71.3% and 74.6%, respectively. Thus by using more than two targets the sensitivity increased from 66.67% of IS6110 to 74.6% in MPCR. Conclusion: Multiplex polymerase chain reaction using IS6110 and Protein b antigen is a highly sensitive and specific tool in the diagnosis of pauci-bacillary conditions like extra-pulmonary TB."
NA,Journal of the Indian Medical Association,2014,Article,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929512498&partnerID=40&md5=68f51546233217e1da9cd9f37f20345a,25935959,NA,NA,"adolescent;  adult;  aged;  bodily secretions;  body fluid;  child;  evaluation study;  female;  human;  infant;  isolation and purification;  male;  microbiology;  middle aged;  Mycobacterium tuberculosis;  preschool child;  real time polymerase chain reaction;  sensitivity and specificity;  tuberculosis;  young adult, Adolescent;  Adult;  Aged;  Bodily Secretions;  Body Fluids;  Child;  Child, Preschool;  Female;  Humans;  Infant;  Male;  Middle Aged;  Mycobacterium tuberculosis;  Real-Time Polymerase Chain Reaction;  Sensitivity and Specificity;  Tuberculosis;  Young Adult",NA,Role of real-time PCR (RT-PCR) in rapid diagnosis of tuberculous mycobacteria in different clinical samples,"The study was aimed for molecular detection of mycobacterial DNA in different clinical samples using real-time polymerase chain reaction (RT-PCR) system and rapid diagnosis of tuberculosis. A total of 508 clinical specimens (blood 343, menstrual fluid 53, endometrial tissue 43, body fluid 36, pus from lymph nodes 18, sputum 8, urine 5 and semen 2) were included in this study. We extracted DNA using QIAamp DNA Mini Kit (QIAGEN, Germany) and performed real-time assay using Rotor-Gene Q machine from Corbett Research, Australia for specific amplification of IS6110 sequence of mycobacterial genome. The RT-PCR result was also compared with bacterial culture and acid-fast bacillus staining. RT-PCR assay showed positivity in 52 cases and negative in 456 cases. Corresponding positive results in culture and acid-fast bacillus staining methods were 49 cases and 24 cases respectively. The sensitivity and specificity of detecting Mycobacterium tuberculosis by RT-PCR were 93.87% and 98.69% respectively taking positive culture results as reference standards. The overall positive and negative predictive values were 88.46% and 99.34% respectively. RT-PCR is a useful diagnostic tool for rapid and sensitive detection of mycobacteria in different clinical samples. The easy processing, fast reporting and relative lack of contamination issues make it worthy as a possible replacement to time consuming culture techniques. Moreover, it has added advantage of quantification of mycobacterial DNA, hence bacterial load."
"Kim, C.-H. and Woo, H. and Hyun, I.G. and Kim, C. and Choi, J.-H. and Jang, S.-H. and Park, S.M. and Kim, D.-G. and Lee, M.G. and Jung, K.-S. and Hyun, J. and Kim, H.S.",Journal of Thoracic Disease,2014,Article,10.3978/j.issn.2072-1439.2014.04.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904858625&doi=10.3978%2fj.issn.2072-1439.2014.04.12&partnerID=40&md5=2fd48d4b8f81bbf88b453b112068ca40,NA,Mycobacterium tuberculosis (MTB);  Polymerase chain reaction (PCR);  Pulmonary tuberculosis,NA,acid fast bacterium;  article;  bacterium culture;  blood smear;  clinical practice;  controlled study;  diagnostic accuracy;  drug sensitivity;  human;  incidence;  intermethod comparison;  lung tuberculosis;  major clinical study;  multidrug resistant tuberculosis;  Mycobacterium tuberculosis;  nested polymerase chain reaction;  polymerase chain reaction;  prevalence;  public health;  real time polymerase chain reaction;  retrospective study;  sensitivity and specificity;  Xpert MTB/RIF assay,NA,A comparison between the efficiency of the Xpert MTB/RIF assay and nested PCR in identifying Mycobacterium tuberculosis during routine clinical practice,"Objectives: Polymerase chain reaction (PCR) for the detection of Mycobacterium tuberculosis (MTB) is more sensitive, specific, and rapid than the conventional methods of acid-fast bacilli (AFB) smear and culture. The aim of this study was to determine if the Xpert MTB/rifampicin (RIF) assay had additional advantages over nested PCR for the detection of MTB in a geographical area with intermediate tuberculosis (TB) incidence. Methods: Between February and December 2013, the Xpert MTB/RIF assay and MTB nested PCR, as well as AFB smear and culture, were simultaneously performed on 198 clinical samples (160 pulmonary and 38 non-pulmonary specimens) collected from 171 patients hospitalized at Hallym University Medical Center for possible TB. The accuracy of the diagnosis of MTB culture-positive TB and the turnaround time of reporting laboratory results were calculated and compared. Rifampin resistance by the Xpert MTB/RIF assay was reviewed with that of conventional drug susceptibility testing (DST). Results: The sensitivity, specificity, and positive and negative predictive values of the Xpert MTB/RIF assay and MTB nested PCR for diagnosis of MTB culture-positive pulmonary TB were 86.1% vs. 69.4% (P=0.1563), 97.8% vs. 94.1% (P=0.2173), 91.2% vs. 75.8% (P=0.1695), and 96.4% vs. 92.0% (P=0.2032), respectively. The median turnaround times of the Xpert MTB/RIF assay and MTB nested PCR were 0 [0-4] days and 4 [1-11] days, respectively (P < 0.001). Two cases of rifampin resistance, as determined by the Xpert MTB/RIF assay, were found to be multi-drug resistant (MDR) pulmonary TB by DST. Conclusions: The Xpert MTB/RIF assay seemed to be sensitive, specific, and comparable to nested PCR for identifying MTB among clinically suspected TB patients, and the assay can be valuable in giving a timely identification of resistance to rifampin.  Pioneer Bioscience Publishing Company."
